personid,quitjob
3906,0
4122,0
4448,0
4942,0
5018,0
5614,0
6278,1
6362,0
6364,0
7068,0
7076,0
7488,0
7720,0
8522,0
8834,0
8854,0
8980,0
9710,0
10098,1
10226,0
10356,0
10794,0
10822,0
11348,0
11390,0
11868,0
12306,0
12426,0
12896,0
12974,0
13530,0
13574,1
13710,0
13980,0
14048,0
14220,1
14374,0
14382,0
14384,0
14522,0
14528,0
14532,0
14556,0
14678,0
15294,0
15444,0
16334,1
16422,1
16424,0
16514,0
16594,0
16596,0
17058,1
17160,0
17172,0
17722,0
17752,0
17812,0
17906,0
18112,0
18494,0
18502,0
19470,0
19482,0
19684,1
21604,0
21648,0
21654,0
21710,0
22022,0
22284,0
23126,0
23136,0
23228,0
23622,0
23742,0
23772,0
24142,0
24146,0
24324,1
24608,0
25056,0
25258,0
25520,0
25532,0
25628,0
25638,0
25700,0
25864,0
25940,0
25962,0
26328,0
26618,0
26634,1
26906,1
26934,1
27704,0
28190,0
28224,0
28226,0
28470,0
28484,1
28492,0
28560,1
29024,1
29032,1
29172,0
29216,0
29230,1
29248,0
29808,1
29996,0
30002,1
30006,0
30014,0
30308,0
30448,1
30972,0
31136,0
31150,1
31230,0
31292,0
31796,0
31888,0
31936,0
32320,0
32590,0
32804,1
33128,0
33278,0
33350,0
33354,0
33366,1
34890,1
35006,1
35344,0
35408,1
35822,1
36032,0
36288,0
36306,0
36314,0
36494,1
36908,0
37276,1
37292,0
37294,0
37296,1
37784,0
37798,0
37804,1
37812,0
37828,0
37840,1
38018,0
38022,1
38028,0
38036,1
38038,0
38040,0
38042,0
38046,0
38052,1
38070,0
38074,1
38290,0
38552,1
38566,0
38580,0
38712,0
38842,1
38862,1
38878,0
38898,0
39096,1
39144,0
39164,0
39458,0
39466,0
39478,1
39490,0
39502,1
39512,0
39530,1
39548,0
39634,0
39748,0
39942,1
39990,0
40008,1
40034,1
40062,1
40076,1
40162,0
40164,0
40174,1
40192,0
40316,0
40320,0
40322,0
40328,0
40334,1
40336,0
40346,1
40444,0
40456,0
40472,0
40490,0
41286,0
41318,0
41320,1
41332,1
41818,0
42096,1
42104,1
42108,0
42140,0
42146,0
42152,0
42308,0
42592,0
42618,1
42624,0
42628,0
42632,0
42634,1
42682,1
43258,0
43264,0
43270,0
43278,0
43286,0
43288,1
43500,0
43524,1
43534,0
43570,0
43926,0
44256,1
44266,0
44282,0
44408,0
44782,0
44784,0
44794,1
44800,0
45238,0
45254,0
45442,0
