personid,expgroup,performance,performance_pre,age,grosswage,children,commute,married
3906,1,0.28289628,0.084573008,33,2.7375467,1,180,1
4122,1,0.73823762,0.000449883,30,4.0962458,0,180,0
4448,0,0.47159928,0.45590964,35,4.2692962,1,100,1
4942,1,-0.25370544,0.91850978,27,5.2953954,0,160,1
5018,1,-0.60636842,-0.37744349,29,1.3875899,1,240,1
5560,2,1.3322728,0.91354454,29,4.420188,1,50,1
5614,1,0.42784104,0.36998031,32,3.8260088,0,80,1
5784,2,-2.081949,-1.8467853,31,2.9404178,0,160,0
6162,2,0.74584556,0.5602625,31,3.8107321,0,120,0
6278,0,-0.10181741,-0.040052831,32,2.9187889,1,170,1
6300,2,-1.1805261,0.29836714,33,3.3604422,0,80,0
6342,2,-0.44975623,-0.023077782,30,3.923372,1,120,1
6344,2,1.4397861,0.42475712,27,4.5168571,1,120,1
6362,0,-0.62006259,0.65531898,29,4.8947082,1,200,1
6364,0,-0.15948412,1.4090424,26,6.2207456,1,180,1
7068,0,-0.98519993,0.27069876,28,4.3418241,0,40,1
7076,0,0.27197054,0.001532828,30,2.66415,1,120,1
7132,2,-0.40577629,-0.19435909,22,3.6314757,0,50,0
7184,2,1.0918878,1.5682608,27,4.2302675,0,120,1
7454,2,-0.47617832,-0.22397614,24,2.0513732,0,85,1
7488,1,1.2493356,0.45098305,25,3.0722089,0,240,0
7720,0,-0.44645497,-0.68709767,25,3.0483878,0,180,0
8522,0,0.048102301,0.23950015,30,4.1922421,1,120,1
8834,0,0.84048772,0.32067874,22,3.6427166,0,60,0
8854,1,0.96376872,0.65077931,22,4.2592611,0,60,0
8980,1,-1.132902,-0.031765454,25,1.9734234,0,120,0
9070,2,1.1879385,0.82980877,23,4.0421543,0,60,0
9106,2,-1.3755672,-1.3841063,23,3.6806667,0,20,0
9460,2,0.41981685,1.2603998,23,5.8756423,0,40,0
9710,0,-0.0594288,-0.7188639,33,3.9029267,0,120,1
10024,2,0.45094585,0.37736371,26,3.3279943,1,230,1
10098,0,-1.0678972,0.076348521,28,4.3152037,1,180,1
