expgroup,anonid,week,quitjob
1,953,0,0
1,953,1,0
1,953,2,0
1,953,3,0
1,953,4,0
1,953,5,0
1,953,6,0
1,953,7,0
1,953,8,0
1,953,9,0
1,953,10,0
1,953,11,0
1,953,12,0
1,953,13,0
1,953,14,0
1,953,15,0
1,953,16,0
1,953,17,0
1,953,18,0
1,953,19,0
1,953,20,0
1,953,21,0
1,953,22,0
1,953,23,0
1,953,24,0
1,953,25,0
1,953,26,0
1,953,27,0
1,953,28,0
1,953,29,0
1,953,30,0
1,953,31,0
1,953,32,0
1,953,33,0
1,953,34,0
1,953,35,0
1,953,36,0
1,953,37,0
1,1061,0,0
1,1061,1,0
1,1061,2,0
1,1061,3,0
1,1061,4,0
1,1061,5,0
1,1061,6,0
1,1061,7,0
1,1061,8,0
1,1061,9,0
1,1061,10,0
1,1061,11,0
1,1061,12,0
1,1061,13,0
1,1061,14,0
1,1061,15,0
1,1061,16,0
1,1061,17,0
1,1061,18,0
1,1061,19,0
1,1061,20,0
1,1061,21,0
1,1061,22,0
1,1061,23,0
1,1061,24,0
1,1061,25,0
1,1061,26,0
1,1061,27,0
1,1061,28,0
1,1061,29,0
1,1061,30,0
1,1061,31,0
1,1061,32,0
1,1061,33,0
1,1061,34,0
1,1061,35,0
1,1061,36,0
1,1061,37,0
0,1224,0,0
0,1224,1,0
0,1224,2,0
0,1224,3,0
0,1224,4,0
0,1224,5,0
0,1224,6,0
0,1224,7,0
0,1224,8,0
0,1224,9,0
0,1224,10,0
0,1224,11,0
0,1224,12,0
0,1224,13,0
0,1224,14,0
0,1224,15,0
0,1224,16,0
0,1224,17,0
0,1224,18,0
0,1224,19,0
0,1224,20,0
0,1224,21,0
0,1224,22,0
0,1224,23,0
0,1224,24,0
0,1224,25,0
0,1224,26,0
0,1224,27,0
0,1224,28,0
0,1224,29,0
0,1224,30,0
0,1224,31,0
0,1224,32,0
0,1224,33,0
0,1224,34,0
0,1224,35,0
0,1224,36,0
0,1224,37,0
1,1471,0,0
1,1471,1,0
1,1471,2,0
1,1471,3,0
1,1471,4,0
1,1471,5,0
1,1471,6,0
1,1471,7,0
1,1471,8,0
1,1471,9,0
1,1471,10,0
1,1471,11,0
1,1471,12,0
1,1471,13,0
1,1471,14,0
1,1471,15,0
1,1471,16,0
1,1471,17,0
1,1471,18,0
1,1471,19,0
1,1471,20,0
1,1471,21,0
1,1471,22,0
1,1471,23,0
1,1471,24,0
1,1471,25,0
1,1471,26,0
1,1471,27,0
1,1471,28,0
1,1471,29,0
1,1471,30,0
1,1471,31,0
1,1471,32,0
1,1471,33,0
1,1471,34,0
1,1471,35,0
1,1471,36,0
1,1471,37,0
1,1509,0,0
1,1509,1,0
1,1509,2,0
1,1509,3,0
1,1509,4,0
1,1509,5,0
1,1509,6,0
1,1509,7,0
1,1509,8,0
1,1509,9,0
1,1509,10,0
1,1509,11,0
1,1509,12,0
1,1509,13,0
1,1509,14,0
1,1509,15,0
1,1509,16,0
1,1509,17,0
1,1509,18,0
1,1509,19,0
1,1509,20,0
1,1509,21,0
1,1509,22,0
1,1509,23,0
1,1509,24,0
1,1509,25,0
1,1509,26,0
1,1509,27,0
1,1509,28,0
1,1509,29,0
1,1509,30,0
1,1509,31,0
1,1509,32,0
1,1509,33,0
1,1509,34,0
1,1509,35,0
1,1509,36,0
1,1509,37,0
1,1807,0,0
1,1807,1,0
1,1807,2,0
1,1807,3,0
1,1807,4,0
1,1807,5,0
1,1807,6,0
1,1807,7,0
1,1807,8,0
1,1807,9,0
1,1807,10,0
1,1807,11,0
1,1807,12,0
1,1807,13,0
1,1807,14,0
1,1807,15,0
1,1807,16,0
1,1807,17,0
1,1807,18,0
1,1807,19,0
1,1807,20,0
1,1807,21,0
1,1807,22,0
1,1807,23,0
1,1807,24,0
1,1807,25,0
1,1807,26,0
1,1807,27,0
1,1807,28,0
1,1807,29,0
1,1807,30,0
1,1807,31,0
1,1807,32,0
1,1807,33,0
1,1807,34,0
1,1807,35,0
1,1807,36,0
1,1807,37,0
0,2139,0,0
0,2139,1,0
0,2139,2,0
0,2139,3,0
0,2139,4,0
0,2139,5,0
0,2139,6,0
0,2139,7,0
0,2139,8,0
0,2139,9,0
0,2139,10,0
0,2139,11,0
0,2139,12,0
0,2139,13,0
0,2139,14,0
0,2139,15,0
0,2139,16,0
0,2139,17,0
0,2139,18,0
0,2139,19,0
0,2139,20,0
0,2139,21,0
0,2139,22,0
0,2139,23,0
0,2139,24,0
0,2139,25,0
0,2139,26,0
0,2139,27,0
0,2139,28,0
0,2139,29,0
0,2139,30,0
0,2139,31,0
0,2139,32,0
0,2139,33,0
0,2139,34,0
0,2139,35,0
0,2139,36,0
0,2139,37,0
0,2181,0,0
0,2181,1,0
0,2181,2,0
0,2181,3,0
0,2181,4,0
0,2181,5,0
0,2181,6,0
0,2181,7,0
0,2181,8,0
0,2181,9,0
0,2181,10,0
0,2181,11,0
0,2181,12,0
0,2181,13,0
0,2181,14,0
0,2181,15,0
0,2181,16,0
0,2181,17,0
0,2181,18,0
0,2181,19,0
0,2181,20,0
0,2181,21,0
0,2181,22,0
0,2181,23,0
0,2181,24,0
0,2181,25,0
0,2181,26,0
0,2181,27,0
0,2181,28,0
0,2181,29,0
0,2181,30,0
0,2181,31,0
0,2181,32,0
0,2181,33,0
0,2181,34,0
0,2181,35,0
0,2181,36,0
0,2181,37,0
0,2182,0,0
0,2182,1,0
0,2182,2,0
0,2182,3,0
0,2182,4,0
0,2182,5,0
0,2182,6,0
0,2182,7,0
0,2182,8,0
0,2182,9,0
0,2182,10,0
0,2182,11,0
0,2182,12,0
0,2182,13,0
0,2182,14,0
0,2182,15,0
0,2182,16,0
0,2182,17,0
0,2182,18,0
0,2182,19,0
0,2182,20,0
0,2182,21,0
0,2182,22,0
0,2182,23,0
0,2182,24,0
0,2182,25,0
0,2182,26,0
0,2182,27,0
0,2182,28,0
0,2182,29,0
0,2182,30,0
0,2182,31,0
0,2182,32,0
0,2182,33,0
0,2182,34,0
0,2182,35,0
0,2182,36,0
0,2182,37,0
0,2534,0,0
0,2534,1,0
0,2534,2,0
0,2534,3,0
0,2534,4,0
0,2534,5,0
0,2534,6,0
0,2534,7,0
0,2534,8,0
0,2534,9,0
0,2534,10,0
0,2534,11,0
0,2534,12,0
0,2534,13,0
0,2534,14,0
0,2534,15,0
0,2534,16,0
0,2534,17,0
0,2534,18,0
0,2534,19,0
0,2534,20,0
0,2534,21,0
0,2534,22,0
0,2534,23,0
0,2534,24,0
0,2534,25,0
0,2534,26,0
0,2534,27,0
0,2534,28,0
0,2534,29,0
0,2534,30,0
0,2534,31,0
0,2534,32,0
0,2534,33,0
0,2534,34,0
0,2534,35,0
0,2534,36,0
0,2534,37,0
0,2538,0,0
0,2538,1,0
0,2538,2,0
0,2538,3,0
0,2538,4,0
0,2538,5,0
0,2538,6,0
0,2538,7,0
0,2538,8,0
0,2538,9,0
0,2538,10,0
0,2538,11,0
0,2538,12,0
0,2538,13,0
0,2538,14,0
0,2538,15,0
0,2538,16,0
0,2538,17,0
0,2538,18,0
0,2538,19,0
0,2538,20,0
0,2538,21,0
0,2538,22,0
0,2538,23,0
0,2538,24,0
0,2538,25,0
0,2538,26,0
0,2538,27,0
0,2538,28,0
0,2538,29,0
0,2538,30,0
0,2538,31,0
0,2538,32,0
0,2538,33,0
0,2538,34,0
0,2538,35,0
0,2538,36,0
0,2538,37,0
1,2744,0,0
1,2744,1,0
1,2744,2,0
1,2744,3,0
1,2744,4,0
1,2744,5,0
1,2744,6,0
1,2744,7,0
1,2744,8,0
1,2744,9,0
1,2744,10,0
1,2744,11,0
1,2744,12,0
1,2744,13,0
1,2744,14,0
1,2744,15,0
1,2744,16,0
1,2744,17,0
1,2744,18,0
1,2744,19,0
1,2744,20,0
1,2744,21,0
1,2744,22,0
1,2744,23,0
1,2744,24,0
1,2744,25,0
1,2744,26,0
1,2744,27,0
1,2744,28,0
1,2744,29,0
1,2744,30,0
1,2744,31,0
1,2744,32,0
1,2744,33,0
1,2744,34,0
1,2744,35,0
1,2744,36,0
1,2744,37,0
0,2860,0,0
0,2860,1,0
0,2860,2,0
0,2860,3,0
0,2860,4,0
0,2860,5,0
0,2860,6,0
0,2860,7,0
0,2860,8,0
0,2860,9,0
0,2860,10,0
0,2860,11,0
0,2860,12,0
0,2860,13,0
0,2860,14,0
0,2860,15,0
0,2860,16,0
0,2860,17,0
0,2860,18,0
0,2860,19,0
0,2860,20,0
0,2860,21,0
0,2860,22,0
0,2860,23,0
0,2860,24,0
0,2860,25,0
0,2860,26,0
0,2860,27,0
0,2860,28,0
0,2860,29,0
0,2860,30,0
0,2860,31,0
0,2860,32,0
0,2860,33,0
0,2860,34,0
0,2860,35,0
0,2860,36,0
0,2860,37,0
0,3261,0,0
0,3261,1,0
0,3261,2,0
0,3261,3,0
0,3261,4,0
0,3261,5,0
0,3261,6,0
0,3261,7,0
0,3261,8,0
0,3261,9,0
0,3261,10,0
0,3261,11,0
0,3261,12,0
0,3261,13,0
0,3261,14,0
0,3261,15,0
0,3261,16,0
0,3261,17,0
0,3261,18,0
0,3261,19,0
0,3261,20,0
0,3261,21,0
0,3261,22,0
0,3261,23,0
0,3261,24,0
0,3261,25,0
0,3261,26,0
0,3261,27,0
0,3261,28,0
0,3261,29,0
0,3261,30,0
0,3261,31,0
0,3261,32,0
0,3261,33,0
0,3261,34,0
0,3261,35,0
0,3261,36,0
0,3261,37,0
0,3417,0,0
0,3417,1,0
0,3417,2,0
0,3417,3,0
0,3417,4,0
0,3417,5,0
0,3417,6,0
0,3417,7,0
0,3417,8,0
0,3417,9,0
0,3417,10,0
0,3417,11,0
0,3417,12,0
0,3417,13,0
0,3417,14,0
0,3417,15,0
0,3417,16,0
0,3417,17,0
0,3417,18,0
0,3417,19,0
0,3417,20,0
0,3417,21,0
0,3417,22,0
0,3417,23,0
0,3417,24,0
0,3417,25,0
0,3417,26,0
0,3417,27,0
0,3417,28,0
0,3417,29,0
0,3417,30,0
0,3417,31,0
0,3417,32,0
0,3417,33,0
0,3417,34,0
0,3417,35,0
0,3417,36,0
0,3417,37,0
1,3427,0,0
1,3427,1,0
1,3427,2,0
1,3427,3,0
1,3427,4,0
1,3427,5,0
1,3427,6,0
1,3427,7,0
1,3427,8,0
1,3427,9,0
1,3427,10,0
1,3427,11,0
1,3427,12,0
1,3427,13,0
1,3427,14,0
1,3427,15,0
1,3427,16,0
1,3427,17,0
1,3427,18,0
1,3427,19,0
1,3427,20,0
1,3427,21,0
1,3427,22,0
1,3427,23,0
1,3427,24,0
1,3427,25,0
1,3427,26,0
1,3427,27,0
1,3427,28,0
1,3427,29,0
1,3427,30,0
1,3427,31,0
1,3427,32,0
1,3427,33,0
1,3427,34,0
1,3427,35,0
1,3427,36,0
1,3427,37,0
1,3490,0,0
1,3490,1,0
1,3490,2,0
1,3490,3,0
1,3490,4,0
1,3490,5,0
1,3490,6,0
1,3490,7,0
1,3490,8,0
1,3490,9,0
1,3490,10,0
1,3490,11,0
1,3490,12,0
1,3490,13,0
1,3490,14,0
1,3490,15,0
1,3490,16,0
1,3490,17,0
1,3490,18,0
1,3490,19,0
1,3490,20,0
1,3490,21,0
1,3490,22,0
1,3490,23,0
1,3490,24,0
1,3490,25,0
1,3490,26,0
1,3490,27,0
1,3490,28,0
1,3490,29,0
1,3490,30,0
1,3490,31,0
1,3490,32,0
1,3490,33,0
1,3490,34,0
1,3490,35,0
1,3490,36,0
1,3490,37,0
0,3855,0,0
0,3855,1,0
0,3855,2,0
0,3855,3,0
0,3855,4,0
0,3855,5,0
0,3855,6,0
0,3855,7,0
0,3855,8,0
0,3855,9,0
0,3855,10,0
0,3855,11,0
0,3855,12,0
0,3855,13,0
0,3855,14,0
0,3855,15,0
0,3855,16,0
0,3855,17,0
0,3855,18,0
0,3855,19,0
0,3855,20,0
0,3855,21,0
0,3855,22,0
0,3855,23,0
0,3855,24,0
0,3855,25,0
0,3855,26,0
0,3855,27,0
0,3855,28,0
0,3855,29,0
0,3855,30,0
0,3855,31,0
0,3855,32,0
0,3855,33,0
0,3855,34,0
0,3855,35,0
0,3855,36,0
0,3855,37,0
0,4049,0,0
0,4049,1,0
0,4049,2,0
0,4049,3,0
0,4049,4,1
0,4049,5,1
0,4049,6,1
0,4049,7,1
0,4049,8,1
0,4049,9,1
0,4049,10,1
0,4049,11,1
0,4049,12,1
0,4049,13,1
0,4049,14,1
0,4049,15,1
0,4049,16,1
0,4049,17,1
0,4049,18,1
0,4049,19,1
0,4049,20,1
0,4049,21,1
0,4049,22,1
0,4049,23,1
0,4049,24,1
0,4049,25,1
0,4049,26,1
0,4049,27,1
0,4049,28,1
0,4049,29,1
0,4049,30,1
0,4049,31,1
0,4049,32,1
0,4049,33,1
0,4049,34,1
0,4049,35,1
0,4049,36,1
0,4049,37,1
1,4113,0,0
1,4113,1,0
1,4113,2,0
1,4113,3,0
1,4113,4,0
1,4113,5,0
1,4113,6,0
1,4113,7,0
1,4113,8,0
1,4113,9,0
1,4113,10,0
1,4113,11,0
1,4113,12,0
1,4113,13,0
1,4113,14,0
1,4113,15,0
1,4113,16,0
1,4113,17,0
1,4113,18,0
1,4113,19,0
1,4113,20,0
1,4113,21,0
1,4113,22,0
1,4113,23,0
1,4113,24,0
1,4113,25,0
1,4113,26,0
1,4113,27,0
1,4113,28,0
1,4113,29,0
1,4113,30,0
1,4113,31,0
1,4113,32,0
1,4113,33,0
