personid,treatment,age,basewage,costofcommute,children,bedroom,married,performance
3906,1,33,1883.3334,8,1,1,1,.64179403
4122,1,30,1700,18,0,0,0,1.2261602
4448,0,35,1750,10,1,1,1,.88396758
4942,1,27,1900,20,0,1,1,-.046858266
5018,1,29,2138.8889,15,1,1,1,-.49945125
5614,1,32,1700,0,0,1,1,.82781011
6278,0,32,1700,12,1,1,1,.1480685
6362,0,29,1850,12,1,1,1,-.51702577
6364,0,26,1900,12,1,1,1,.074061453
7068,0,28,1950,0,0,1,1,-.98562783
7076,0,30,2100,0,1,1,1,.62777239
7488,1,25,1800,18,0,1,0,1.882082
7720,0,25,1750,9,0,1,0,-.29422498
8522,0,30,1733.3334,6,1,1,1,.34046921
8834,0,22,1750,0,0,0,0,1.3573836
8854,1,22,1700,4,0,1,0,1.5155973
8980,1,25,1650,10,0,1,0,-1.1751825
9710,0,33,1783.3334,10,0,1,1,.20246828
10098,0,28,2350,12,1,1,1,-1.091758
10226,1,22,1650,0,0,0,0,.034917846
10356,1,27,1650,0,0,1,0,.49216989
10794,1,32,1750,5,1,1,1,1.7111198
10822,1,26,1600,4,0,1,1,1.9142358
11348,0,25,1600,8,1,1,1,-.85630554
11390,0,31,1700,25,0,1,1,.97241575
11868,1,30,1650,10,0,1,0,-.31741729
12306,0,24,1650,14,0,1,0,-.92978656
12426,0,30,1650,0,0,1,1,-3.6110408
12896,0,26,1700,10,0,1,1,.5502876
12974,1,22,1650,0,0,1,0,.78126776
13530,1,29,1600,9.090909,0,1,0,.21806438
13574,1,30,1700,10,1,1,1,3.1091616
13710,0,30,1650,5,1,1,1,.32645434
13980,0,28,1650,6,0,1,0,1.2178442
14048,1,28,1650,10,1,1,1,.65458018
14220,0,28,1633.3334,12,1,1,1,1.1182548
14374,0,28,1650,10,0,1,0,.16252299
14382,0,26,1666.6666,10,1,1,1,1.5066754
14384,0,32,1650,8,0,1,0,.56583947
14522,1,29,1600,0,0,1,0,-.72154099
14528,1,28,1600,25,1,1,1,1.2594616
14532,1,26,1650,10,0,1,0,.96713549
14556,0,26,1500,10,1,1,1,1.7589146
14678,1,26,1827.7778,4,0,1,1,.46996868
15294,1,25,1633.3334,4,0,1,0,1.672007
15444,0,27,1650,11.818182,0,1,1,.20252988
16334,0,30,1633.3334,25,1,1,1,-.54580933
16422,0,29,1600,10,1,1,1,-1.8098511
16424,0,22,1600,6,0,1,0,-.44597411
16514,1,28,1550,4,0,1,0,.42951626
16594,0,29,1550,20,1,1,1,.53578067
16596,1,34,1650,5,1,1,1,1.1374542
17058,0,23,1600,8,0,1,0,-.66336274
17160,0,27,1650,10,1,1,1,.67545295
17172,0,28,1600,12,0,1,0,-.60770214
17722,1,24,1650,0,0,1,0,-1.3708736
17752,1,25,1650,0,0,1,0,.7365135
17812,0,28,2566.6667,12,1,1,1,-.24381287
17906,1,27,1600,14,0,1,1,.62300158
18112,1,27,1650,8,0,1,0,.76687843
18494,0,31,1600,15,0,1,0,-.23899305
18502,0,26,1600,9,0,1,1,-.095293768
19470,0,25,1650,0,0,1,0,.93481666
19482,1,23,1850,12,0,1,0,-.94512039
19684,0,22,1600,14,0,1,0,-.50588667
21604,0,24,1600,16,0,1,0,.35466006
21648,0,26,1600,3.5,1,1,1,-.84184998
21654,1,29,1650,2,0,1,0,1.3789965
21710,1,30,1600,4,0,1,1,-.68091446
22022,0,22,1755.5555,4,0,1,0,-.6366632
22284,1,21,1600,0,1,1,1,.92764795
23126,0,23,1600,6,0,1,0,1.1105134
23136,1,22,1600,3,0,1,0,.055337131
23228,1,23,1616.6666,0,0,1,1,1.8395022
23622,1,25,1600,10,0,1,0,2.2953331
23742,0,21,1683.3334,8,0,1,0,-.68439811
23772,1,21,1600,0,0,1,0,.22440428
24142,1,29,1600,12,0,1,0,2.0793908
24146,0,24,1600,12,0,1,0,-1.1014558
24324,1,23,1600,25,0,1,0,-1.3723242
24608,1,34,1650,3,1,1,1,-.14255849
25056,0,23,1600,2,0,1,0,.0011520822
25258,0,26,1638.8889,4,0,1,0,.025192386
25520,1,24,1600,6,0,1,0,-.66624862
25532,1,25,1583.3334,12,0,1,0,-.16021964
25628,1,24,1583.3334,10,0,1,0,1.5457418
25638,1,26,1600,10,0,1,0,.12632662
25700,1,27,1638.8889,0,0,1,0,-.72586489
25864,0,20,1650,0,0,1,0,1.2878731
25940,1,24,1755.5555,10,0,1,1,-.6044541
25962,1,24,1600,4,1,1,1,-.13499658
26328,1,22,1566.6666,0,0,0,0,-1.0629823
26618,1,24,1600,0,0,1,0,-1.1323545
26634,0,26,1600,2,0,1,0,.22719371
26906,0,24,1755.5555,10,0,1,0,-1.2146844
26934,1,24,1600,6,0,1,0,1.2478228
27704,0,26,1500,4,0,1,0,.59435111
28190,0,25,1550,10,0,1,0,-.13101584
28224,0,27,1550,0,1,1,1,.20764127
28226,1,23,1550,15,0,1,0,-.82205254
28470,1,24,1550,30,0,1,0,.81086057
28484,0,23,1450,5,1,1,1,.36064559
28492,1,24,1600,0,0,1,0,-1.2006704
28560,0,20,1683.3334,10,0,1,0,-1.5457031
29024,0,26,1550,10,0,1,0,-1.4564029
29032,1,23,1550,9,0,1,0,-.76476145
29172,0,26,1566.6666,9,0,1,0,.93058336
29216,1,26,1683.3334,30,0,1,0,-.66170293
29230,1,24,1583.3334,0,0,1,0,-.22293851
