personid,treatment,age,basewage,costofcommute,children,bedroom,married,performance
3906,1,33,1883.3334,8,1,1,1,.09985029
4122,1,30,1700,18,0,0,0,1.4497778
4448,0,35,1750,10,1,1,1,.5489493
4942,1,27,1900,20,0,1,1,.19585648
5018,1,29,2138.8889,15,1,1,1,-.13046685
5614,1,32,1700,0,0,1,1,.8273713
6278,0,32,1700,12,1,1,1,.33271688
6362,0,29,1850,12,1,1,1,-.18968061
6364,0,26,1900,12,1,1,1,.55301487
7068,0,28,1950,0,0,1,1,-.99742991
7076,0,30,2100,0,1,1,1,.73087227
7488,1,25,1800,18,0,1,0,1.9240218
7720,0,25,1750,9,0,1,0,-.18306828
8522,0,30,1733.3334,6,1,1,1,-.069434531
8834,0,22,1750,0,0,0,0,1.6846998
8854,1,22,1700,4,0,1,0,1.7938309
8980,1,25,1650,10,0,1,0,-2.1279132
9710,0,33,1783.3334,10,0,1,1,.7784161
10226,1,22,1650,0,0,0,0,-.060151488
10356,1,27,1650,0,0,1,0,.71409971
10794,1,32,1750,5,1,1,1,1.214685
11348,0,25,1600,8,1,1,1,-.69542605
11390,0,31,1700,25,0,1,1,.54525435
11868,1,30,1650,10,0,1,0,-.029141845
12306,0,24,1650,14,0,1,0,-2.0750251
12426,0,30,1650,0,0,1,1,-3.9267156
12896,0,26,1700,10,0,1,1,.059890289
12974,1,22,1650,0,0,1,0,1.0779841
13530,1,29,1600,9.090909,0,1,0,.39759481
13710,0,30,1650,5,1,1,1,-.1916333
13980,0,28,1650,6,0,1,0,1.6669238
14048,1,28,1650,10,1,1,1,.7120387
14374,0,28,1650,10,0,1,0,-.43048835
14382,0,26,1666.6666,10,1,1,1,1.5853539
14384,0,32,1650,8,0,1,0,.13959663
14522,1,29,1600,0,0,1,0,-.94502431
14528,1,28,1600,25,1,1,1,1.2695376
14532,1,26,1650,10,0,1,0,.41082332
14678,1,26,1827.7778,4,0,1,1,.73056126
15294,1,25,1633.3334,4,0,1,0,2.0376992
15444,0,27,1650,11.818182,0,1,1,.38394749
16424,0,22,1600,6,0,1,0,-.79992181
16514,1,28,1550,4,0,1,0,.18264274
16594,0,29,1550,20,1,1,1,-.91601253
16596,1,34,1650,5,1,1,1,1.057538
17160,0,27,1650,10,1,1,1,.63515729
17172,0,28,1600,12,0,1,0,-.50257307
17722,1,24,1650,0,0,1,0,-1.3842098
17752,1,25,1650,0,0,1,0,.15491499
17812,0,28,2566.6667,12,1,1,1,.11599446
18112,1,27,1650,8,0,1,0,.88529104
18494,0,31,1600,15,0,1,0,.025700904
19470,0,25,1650,0,0,1,0,1.2361884
19482,1,23,1850,12,0,1,0,-.77960306
21604,0,24,1600,16,0,1,0,-.23570932
21648,0,26,1600,3.5,1,1,1,-.74853432
21654,1,29,1650,2,0,1,0,1.7769789
21710,1,30,1600,4,0,1,1,-.51207578
22022,0,22,1755.5555,4,0,1,0,-.50263852
22284,1,21,1600,0,1,1,1,.87785465
23126,0,23,1600,6,0,1,0,1.1914159
23136,1,22,1600,3,0,1,0,.08512485
23228,1,23,1616.6666,0,0,1,1,1.739769
23622,1,25,1600,10,0,1,0,2.0510151
23742,0,21,1683.3334,8,0,1,0,-.5559178
23772,1,21,1600,0,0,1,0,.21856198
24142,1,29,1600,12,0,1,0,2.3123138
24146,0,24,1600,12,0,1,0,-1.259008
24324,1,23,1600,25,0,1,0,-3.5131767
24608,1,34,1650,3,1,1,1,-.15344371
25056,0,23,1600,2,0,1,0,-.64796519
25258,0,26,1638.8889,4,0,1,0,-.10547104
25520,1,24,1600,6,0,1,0,-.69877613
25532,1,25,1583.3334,12,0,1,0,-.36195201
25628,1,24,1583.3334,10,0,1,0,1.1120493
25638,1,26,1600,10,0,1,0,.088830434
25700,1,27,1638.8889,0,0,1,0,-.76815206
25864,0,20,1650,0,0,1,0,1.0354612
25940,1,24,1755.5555,10,0,1,1,-.28500575
25962,1,24,1600,4,1,1,1,.022504892
26328,1,22,1566.6666,0,0,0,0,-1.1960709
26618,1,24,1600,0,0,1,0,-1.3661777
26634,0,26,1600,2,0,1,0,.64524078
26906,0,24,1755.5555,10,0,1,0,-1.4096913
26934,1,24,1600,6,0,1,0,.79995912
27704,0,26,1500,4,0,1,0,.70269305
28190,0,25,1550,10,0,1,0,-.5076105
28224,0,27,1550,0,1,1,1,.3615191
28226,1,23,1550,15,0,1,0,-.80402309
28470,1,24,1550,30,0,1,0,.079833254
28492,1,24,1600,0,0,1,0,-1.2896775
28560,0,20,1683.3334,10,0,1,0,-1.3964026
29024,0,26,1550,10,0,1,0,-1.7696872
29032,1,23,1550,9,0,1,0,-.67467153
29172,0,26,1566.6666,9,0,1,0,.7734549
29216,1,26,1683.3334,30,0,1,0,-.29812694
29230,1,24,1583.3334,0,0,1,0,-.66138738
29248,0,27,1550,10,1,1,1,-.92006999
29808,1,25,1600,2,1,1,1,-.67915237
29996,0,23,1550,5,0,1,1,-.57811224
30002,0,26,1616.6666,12,0,1,0,-1.4067072
30006,1,24,1550,5,0,1,0,-.61813909
30014,1,30,1550,5,0,1,0,.33809933
30308,1,21,1583.3334,0,0,0,0,.97986519
30972,1,27,1550,8,0,1,0,.13086423
31136,0,23,1550,8,0,1,0,-.5232448
31150,0,23,1550,3,0,1,0,-1.2983487
31230,1,24,1550,14,0,1,1,-.59554136
31292,1,27,1600,4,0,1,0,1.3192722
31796,1,24,1550,4,0,1,1,-.26532391
31888,0,27,1550,8,1,1,1,1.0543267
