pclass,survived,sex,age,fare
first,1,female,29,211.33749
first,0,male,30,151.55
first,0,female,25,151.55
first,1,male,48,26.549999
first,1,female,63,77.958298
first,0,male,39,0
first,1,female,53,51.479198
first,0,male,71,49.5042
first,0,male,47,227.52499
first,1,female,18,227.52499
first,1,female,24,69.300003
first,1,female,26,78.849998
first,1,male,80,30
first,0,male,,25.924999
first,0,male,24,247.5208
first,1,female,50,247.5208
first,1,female,32,76.291702
first,0,male,36,75.241699
first,1,male,37,52.554199
first,1,female,47,52.554199
first,1,male,26,30
first,1,female,42,227.52499
first,1,female,29,221.77921
first,0,male,25,26
first,1,male,25,91.079201
first,1,female,19,91.079201
first,1,female,35,135.6333
first,1,male,28,26.549999
first,0,male,45,35.5
first,1,male,40,31
first,1,female,30,164.8667
first,1,female,58,26.549999
first,0,male,42,26.549999
first,1,female,45,262.375
first,1,female,22,55
first,1,male,,26.549999
first,0,male,41,30.5
first,0,male,48,50.4958
first,0,male,,39.599998
first,1,female,44,27.7208
first,1,female,59,51.479198
first,1,female,60,76.291702
first,1,female,41,134.5
first,0,male,45,26.549999
first,0,male,,31
first,1,male,42,26.2875
first,1,female,53,27.445801
first,1,male,36,512.32922
first,1,female,58,512.32922
first,0,male,33,5
first,0,male,28,47.099998
first,1,male,36,120
first,1,female,36,120
first,0,male,49,26
first,1,female,,27.7208
first,0,male,36,78.849998
first,1,female,76,78.849998
first,0,male,46,61.174999
first,1,female,47,61.174999
first,1,male,27,53.099998
first,1,female,33,53.099998
first,1,female,36,262.375
first,1,female,30,86.5
first,1,male,45,29.700001
first,1,female,,55
first,0,male,,0
first,0,male,27,136.77921
first,1,female,26,136.77921
first,1,female,22,151.55
first,0,male,,52
first,0,male,47,25.5875
first,1,female,39,83.158302
first,0,male,37,83.158302
first,1,female,64,83.158302
first,1,female,55,25.700001
first,0,male,,26.549999
first,0,male,70,71
first,1,female,36,71
first,1,female,64,26.549999
first,0,male,39,71.283302
first,1,female,38,71.283302
first,1,male,51,26.549999
first,1,male,27,30.5
first,1,female,33,151.55
first,0,male,31,52
first,1,female,27,52
first,1,male,31,57
first,1,male,53,81.858299
first,1,female,54,81.858299
first,0,male,50,106.425
