sales,price,brand,feat,tropicana
8256,3.8699999,tropicana,0,1
6144,3.8699999,tropicana,0,1
3840,3.8699999,tropicana,0,1
8000,3.8699999,tropicana,0,1
8896,3.8699999,tropicana,0,1
7168,3.8699999,tropicana,0,1
10880,3.29,tropicana,0,1
7744,3.29,tropicana,0,1
8512,3.29,tropicana,0,1
5504,3.29,tropicana,0,1
5888,3.5599999,tropicana,0,1
8384,3.5599999,tropicana,0,1
5952,3.5599999,tropicana,0,1
6848,3.5599999,tropicana,0,1
9216,3.8699999,tropicana,0,1
12160,2.99,tropicana,0,1
12672,2.99,tropicana,0,1
6528,3.5899999,tropicana,0,1
6144,3.5899999,tropicana,0,1
21120,2.3900001,tropicana,0,1
12416,2.3900001,tropicana,0,1
9472,3.5899999,tropicana,0,1
17920,2.5899999,tropicana,0,1
9408,2.5899999,tropicana,0,1
6272,3.5899999,tropicana,0,1
6912,3.5899999,tropicana,0,1
16768,2.49,tropicana,0,1
6272,3.5899999,tropicana,0,1
7936,3.5899999,tropicana,0,1
6144,3.5899999,tropicana,0,1
7936,3.5899999,tropicana,0,1
7808,3.5899999,tropicana,0,1
6080,3.5899999,tropicana,0,1
42176,1.6900001,tropicana,1,1
4928,3.5899999,tropicana,0,1
29504,1.99,tropicana,1,1
9984,3.5899999,tropicana,0,1
35200,1.99,tropicana,1,1
23936,1.99,tropicana,0,1
7104,3.5899999,tropicana,0,1
24512,2.29,tropicana,1,1
6336,3.5899999,tropicana,0,1
6080,3.5899999,tropicana,0,1
33536,1.99,tropicana,0,1
13248,1.99,tropicana,0,1
6208,3.5899999,tropicana,0,1
10624,3.5899999,tropicana,0,1
44672,1.99,tropicana,0,1
20096,1.99,tropicana,0,1
9152,3.5899999,tropicana,1,1
21952,2.1900001,tropicana,0,1
13568,2.1900001,tropicana,0,1
4160,3.5899999,tropicana,0,1
39424,1.99,tropicana,1,1
5632,3.5899999,tropicana,0,1
9024,2.6800001,tropicana,1,1
6016,3.4400001,tropicana,0,1
7744,3.1400001,tropicana,0,1
6784,3.0699999,tropicana,0,1
6784,3.0699999,tropicana,0,1
6272,3.0699999,tropicana,0,1
5312,3.0699999,tropicana,0,1
9216,3.1099999,tropicana,0,1
7296,3.1900001,tropicana,0,1
34240,1.99,tropicana,1,1
7168,2.6400001,tropicana,0,1
6080,3.1900001,tropicana,0,1
5120,3.1900001,tropicana,0,1
8320,2.74,tropicana,0,1
17728,2.3900001,tropicana,0,1
13120,2.3499999,tropicana,0,1
13120,2.29,tropicana,0,1
9792,2.4300001,tropicana,0,1
3520,3.1900001,tropicana,0,1
5504,3.1900001,tropicana,0,1
6720,3.1900001,tropicana,0,1
20224,1.99,tropicana,1,1
5056,3.1900001,tropicana,0,1
43584,1.99,tropicana,1,1
25728,1.79,tropicana,0,1
31808,1.79,tropicana,0,1
20736,1.91,tropicana,0,1
15168,2.8099999,tropicana,0,1
